index,workoutid,route_prediction,perf_prediction,userid,diff_altitude,geo_distance,heart_rate_avg,speed_avg,elapsed_time,user_avg_speed,user_avg_dist
582,250775269,1,0,6422295,-0.046526979655,-0.405808061361,172.085000000000000000,8.209108432600000000,3434,9.0505361279500000000000,-0.390277117491
583,204415435,1,0,6422295,-0.148295596242,-0.316345155239,154.385000000000000000,9.386811276900000000,3585,9.0505361279500000000000,-0.390277117491
584,295354534,1,0,6422295,-0.155723974109,-0.436586916447,159.984000000000000000,9.137439209400000000,3182,9.0505361279500000000000,-0.390277117491
585,253102192,1,0,6422295,-0.167609348893,-0.402368336916,149.297000000000000000,9.468785592900000000,3226,9.0505361279500000000000,-0.390277117491
586,183082425,1,0,2174810,-0.0829259753227,-0.202348306775,174.027000000000000000,8.977127563900000000,3988,8.9771275639000000000000,-0.202348306775
587,351167468,1,2,11737814,-0.212179556489,-0.30505079031,142.000000000000000000,11.380532793500000000,2498,11.3083702542777777777778,-0.231618839006
588,631498111,1,2,11737814,-0.13789588213,-0.429707914591,155.222000000000000000,12.459565893000000000,1943,11.3083702542777777777778,-0.231618839006
589,645979675,1,2,11737814,-0.163152337074,-0.11406237632,147.107000000000000000,11.859030906800000000,3028,11.3083702542777777777778,-0.231618839006
590,387813351,1,2,11737814,-0.17503772676,-0.121250137687,157.000000000000000000,12.662749698000000000,2947,11.3083702542777777777778,-0.231618839006
591,369251381,1,0,11737814,-0.212179556489,-0.426481306553,122.000000000000000000,9.071411551000000000,2753,11.3083702542777777777778,-0.231618839006
592,631500522,1,0,11737814,0.0998118370771,-0.165098637342,151.350000000000000000,10.739708802500000000,3526,11.3083702542777777777778,-0.231618839006
593,428281278,1,0,11737814,0.0663841888309,-0.162031784654,133.000000000000000000,11.039842569800000000,3440,11.3083702542777777777778,-0.231618839006
594,427471207,1,2,11737814,0.0663841888309,-0.163080900908,145.000000000000000000,12.306855724900000000,3083,11.3083702542777777777778,-0.231618839006
595,363017006,1,0,11737814,-0.212179556489,-0.197805702686,137.000000000000000000,10.255634349000000000,3287,11.3083702542777777777778,-0.231618839006
596,21736750,1,2,114073,-0.103278957307,-0.307210236788,156.000000000000000000,13.643609445300000000,3089,13.6436094453000000000000,-0.307210236788
597,252157631,1,0,4176041,-0.212179556489,-0.343113034964,167.000000000000000000,7.948466974300000000,4157,10.0875971824000000000000,-0.282479226589
598,181861955,1,2,4176041,-0.212179556489,-0.221845418215,174.000000000000000000,12.226727390500000000,2993,10.0875971824000000000000,-0.282479226589
599,98446817,1,0,7197311,0.0663841888309,-0.177430257201,128.000000000000000000,9.309991356900000000,3208,9.3099913569000000000000,-0.177430257201
600,502741630,1,2,804068,-0.164638012648,-0.331750720739,154.000000000000000000,11.825042881600000000,2332,11.3291632541000000000000,-0.227679792792
601,471820626,1,0,804068,-0.162409499288,-0.123608864844,145.000000000000000000,10.833283626600000000,3354,11.3291632541000000000000,-0.227679792792
602,368888259,1,0,1609921,-0.212179556489,-0.415858417749,184.000000000000000000,7.566804819800000000,2983,7.5668048198000000000000,-0.415858417749
603,262022858,1,2,5986686,-0.114867947996,-0.268079400063,153.920000000000000000,11.581206851300000000,2615,11.1876689656666666666667,-0.245110919078
604,321242191,1,2,5986686,-0.137153044343,-0.314624428749,156.449000000000000000,10.839957217500000000,2495,11.1876689656666666666667,-0.245110919078
605,232386695,1,0,5986686,-0.136410221457,-0.152628928423,156.885000000000000000,11.141842828200000000,3345,11.1876689656666666666667,-0.245110919078
606,346517852,1,0,6481880,-0.102982565761,-0.180744618177,158.000000000000000000,11.934927597200000000,3635,11.9349275972000000000000,-0.180744618177
607,563970590,1,1,7967148,0.135468006134,-0.377146482468,0E-18,12.291523355500000000,2052,12.6447107148545454545455,-0.301165064627
608,634844423,1,1,7967148,0.162210121751,-0.381077975035,0E-18,15.037099147400000000,1686,12.6447107148545454545455,-0.301165064627
609,423182802,1,1,7967148,-0.212179556489,-0.244681984186,0E-18,11.946130967100000000,2404,12.6447107148545454545455,-0.301165064627
610,374196322,1,2,7967148,-0.212179556489,-0.245937898755,148.000000000000000000,12.125409958700000000,2494,12.6447107148545454545455,-0.301165064627
611,480016149,1,1,7967148,-0.0309274103492,-0.279273241758,0E-18,12.928967127900000000,2893,12.6447107148545454545455,-0.301165064627
612,501439526,1,1,7967148,0.0195854827762,-0.188581764698,0E-18,11.646934838700000000,2631,12.6447107148545454545455,-0.301165064627
